stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
110,ACME,Acme,Rush Springs,4,WNW,Grady,34.808330,-98.023250,397,Central,STANDARD,0.02,0.432,0.495,1.35,1.27,0,73,19.7,7.2,Sandy loam,-999,-999,-999,-999,0.037,0.425,0.348,1.35,1.33,0,60.3,23.9,15.7,Sandy loam,0.055,0.365,0.342,1.32,1.6,0,52.5,25.9,21.5,Sandy clay loam,0.054,0.351,0.313,1.29,1.68,0,53.2,24.1,22.8,Sandy clay loam,19940101,20991231
1,ADAX,Ada,Ada,2,NNE,Pontotoc,34.798510,-96.669090,295,South Central,STANDARD,0.033,0.519,0.554,1.32,1.01,0,61.1,22,16.9,Sandy loam,-999,-999,-999,-999,0.043,0.331,0.142,1.27,1.79,0,51.1,25.4,23.5,Sandy clay loam,0.043,0.33,0.089,1.24,1.85,0,47.6,24.6,27.8,Sandy clay loam,0.044,0.334,0.083,1.22,1.86,0,43.6,26.6,29.8,Clay loam,19940101,20991231
2,ALTU,Altus,Altus,3,S,Jackson,34.587220,-99.338080,416,Southwest,STANDARD,0.061,0.399,0.108,1.31,1.57,0,23.8,40,36.2,Clay loam,-999,-999,-999,-999,0.066,0.412,0.104,1.28,1.56,0,17.8,45.2,37,Silty clay loam,0.064,0.396,0.131,1.19,1.69,0,14.3,40.9,44.8,Silty clay,0.06,0.389,0.109,1.18,1.73,0,15,40.9,44.1,Silty clay,19940101,20991231
116,ALV2,Alva,Alva,7.2,SSW,Woods,36.708230,-98.709740,439,North Central,STANDARD,0.054,0.382,0.038,1.44,1.66,0,33.3,31.4,35.3,Clay loam,-999,-999,-999,-999,0.065,0.414,0.094,1.28,1.58,0,21.2,29.7,49.1,Clay,0.073,0.398,0.228,1.2,1.64,0,19.8,29.8,50.5,Clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19981217,20991231
3,ALVA,Alva,Alva,2,S,Woods,36.779700,-98.671700,450,North Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,19981216
135,ANT2,Antlers,Antlers,3,WNW,Pushmataha,34.249670,-95.668440,172,Southeast,STANDARD,0.024,0.365,0.074,1.49,1.45,0,55.9,35.3,8.8,Sandy loam,0.023,0.347,0.067,1.51,0.028,0.318,0.256,1.33,1.71,0,57.9,31.2,10.9,Sandy loam,0.047,0.347,0.208,1.29,1.69,0,47.7,26.8,25.5,Sandy clay loam,0.045,0.356,0.056,1.4,1.71,0,46.5,27.4,26.1,Sandy clay loam,20110415,20991231
4,ANTL,Antlers,Antlers,5,W,Pushmataha,34.224380,-95.700590,179,Southeast,STANDARD,0.011,0.457,0.761,1.65,1.19,0,77.5,14.8,7.7,Sandy loam,-999,-999,-999,-999,0.008,0.435,0.731,1.63,1.26,0,78,16.3,5.7,Loamy sand,0.013,0.271,0.289,1.36,1.92,0,76.8,16.3,6.9,Sandy loam,0.018,0.273,0.348,1.36,1.95,0,80,8.8,11.3,Sandy loam,19940101,20110414
111,APAC,Apache,Apache,4,ENE,Caddo,34.914180,-98.292160,440,Southwest,STANDARD,0.022,0.409,0.491,1.38,1.41,0,76.9,11.3,11.9,Sandy loam,-999,-999,-999,-999,0.038,0.393,0.355,1.36,1.48,0,59.4,19.4,21.3,Sandy clay loam,0.057,0.389,0.12,1.31,1.59,0,31.6,33.9,34.5,Clay loam,0.06,0.382,0.145,1.24,1.66,0,32.3,28.8,38.8,Clay loam,19940101,20991231
126,ARD2,Ardmore,Ardmore,3.5,ENE,Carter,34.192580,-97.085680,266,South Central,STANDARD,0.065,0.446,0.369,1.36,1.29,0,33.6,34.1,32.2,Clay loam,-999,-999,-999,-999,0.064,0.414,0.115,1.3,1.52,0,27,33.7,39.4,Clay loam,0.071,0.416,0.163,1.18,1.63,0,11.2,33.8,54.9,Clay,0.066,0.406,0.131,1.18,1.67,0,11.3,35.7,53,Clay,20040223,20991231
5,ARDM,Ardmore,Ardmore,3,ENE,Carter,34.192200,-97.085000,266,South Central,ENHANCED,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20040218
6,ARNE,Arnett,Arnett,8,WSW,Ellis,36.072040,-99.903080,719,Panhandle,STANDARD,0.037,0.372,0.146,1.38,1.53,0,45.5,31.1,23.4,Loam,-999,-999,-999,-999,0.047,0.419,0.288,1.36,1.35,0,36.9,35.7,27.4,Clay loam,0.055,0.406,0.332,1.36,1.43,0,38.8,30.6,30.6,Clay loam,0.055,0.396,0.312,1.35,1.48,0,43.3,26.8,30,Clay loam,19940101,20991231
7,BBOW,Broken Bow,Broken Bow,7,E,McCurtain,34.014400,-94.613100,113,Southeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20021119
8,BEAV,Beaver,Beaver,1,SSW,Beaver,36.802530,-100.530120,758,Panhandle,CONTINUITY,0.043,0.389,0.146,1.37,1.47,0,40.6,35.1,24.3,Loam,-999,-999,-999,-999,0.052,0.427,0.193,1.36,1.34,0,29,41,30.1,Clay loam,0.079,0.406,0.48,1.45,1.41,0,32.2,37.1,30.7,Clay loam,0.053,0.404,0.215,1.34,1.45,0,35.1,33.1,31.8,Clay loam,19940101,20991231
119,BEEX,Bee,Tishomingo,3.8,SE,Johnston,34.191210,-96.643860,196,South Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20010401,20050713
9,BESS,Bessie,Bessie,4,WNW,Washita,35.401850,-99.058470,511,West Central,STANDARD,0.047,0.413,0.125,1.39,1.36,0,26,50.5,23.6,Silt loam,-999,-999,-999,-999,0.038,0.423,0.382,1.37,1.24,0,32.1,50.3,17.6,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
10,BIXB,Bixby,Bixby,2,NE,Tulsa,35.963050,-95.866210,184,Northeast,STANDARD,0.025,0.45,0.063,1.51,1.02,0,43.6,49.5,6.9,Sandy loam,-999,-999,-999,-999,0.023,0.347,0.174,1.39,1.48,0,36.7,53.2,10,Silt loam,0.031,0.356,0.081,1.46,1.51,0,28.6,57.6,13.8,Silt loam,0.039,0.372,0.042,1.59,1.51,0,36.7,47,16.3,Loam,19940101,20991231
11,BLAC,Blackwell,Blackwell,4,SSE,Kay,36.754430,-97.254520,304,North Central,STANDARD,0.057,0.408,0.149,1.33,1.43,0,27.8,49.2,23,Loam,-999,-999,-999,-999,0.068,0.446,0.07,1.41,1.39,0,17.5,44.8,37.8,Silty clay loam,0.062,0.397,0.102,1.26,1.63,0,20,40.3,39.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
12,BOIS,Boise City,Boise City,3,SSE,Cimarron,36.692560,-102.497130,1267,Panhandle,STANDARD,0.092,0.488,0.447,1.35,1.23,0,35,23.8,41.2,Clay,-999,-999,-999,-999,0.084,0.448,0.226,1.23,1.46,0,19.7,30.2,50.1,Clay,0.081,0.42,0.248,1.17,1.59,0,9.9,42.8,47.3,Silty clay,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
13,BOWL,Bowlegs,Bowlegs,3,NE,Seminole,35.171560,-96.631210,281,Central,STANDARD,0.021,0.428,0.246,1.35,1.23,0,58,28.8,13.2,Sandy loam,-999,-999,-999,-999,0.044,0.356,0.125,1.33,1.67,0,47.2,26.4,26.4,Sandy clay loam,0.057,0.38,0.106,1.26,1.67,0,31.4,31.5,37.1,Clay loam,0.059,0.376,0.14,1.25,1.67,0,26.8,35.3,37.9,Clay loam,19940101,20181030
14,BREC,Breckinridge,Breckinridge,3,SE,Garfield,36.412010,-97.693940,352,North Central,STANDARD,0.058,0.421,0.093,1.39,1.4,0,18.8,57.1,24.1,Silt loam,-999,-999,-999,-999,0.091,0.461,0.232,1.23,1.41,0,8.1,48.5,43.4,Silty clay,0.075,0.443,0.147,1.16,1.56,0,11.7,43.5,44.8,Silty clay,0.077,0.418,0.24,1.14,1.62,0,14.4,42.1,43.4,Silty clay,19940101,20991231
15,BRIS,Bristow,Bristow,4,SE,Creek,35.780500,-96.354040,239,Central,STANDARD,0.025,0.453,0.391,1.34,1.27,0,64.3,11.9,23.9,Sandy clay loam,-999,-999,-999,-999,0.032,0.36,0.109,1.41,1.54,0,46.4,34.7,18.9,Loam,0.037,0.369,0.089,1.43,1.53,0,41.2,36.7,22.1,Loam,0.039,0.365,0.075,1.45,1.57,0,41.9,36,22.1,Loam,19940101,20991231
124,BROK,Broken Bow,Broken Bow,6.5,E,McCurtain,34.043300,-94.624400,113,Southeast,STANDARD,0.021,0.358,0.139,1.42,1.45,0,45.4,40.8,13.8,Loam,-999,-999,-999,-999,0.046,0.372,0.148,1.35,1.56,0,31.8,41,27.2,Clay loam,0.053,0.365,0.116,1.28,1.7,0,31.1,34.1,34.8,Clay loam,0.051,0.365,0.083,1.31,1.7,0,32.1,34.2,33.6,Clay loam,20030404,20991231
16,BUFF,Buffalo,Buffalo,0.5,SW,Harper,36.831290,-99.641010,559,Panhandle,STANDARD,0.031,0.375,0.131,1.41,1.44,0,31.8,48,20.2,Loam,-999,-999,-999,-999,0.033,0.368,0.114,1.42,1.48,0,24.8,53.1,22.1,Silt loam,0.059,0.418,0.241,1.34,1.38,0,22.1,45.3,32.6,Clay loam,0.059,0.403,0.132,1.34,1.5,0,22.4,44.5,33.1,Clay loam,19940101,20991231
17,BURB,Burbank,Burbank,7,SW,Osage,36.634590,-96.810460,301,Northeast,STANDARD,0.051,0.425,0.048,1.56,1.34,0,20.1,53.9,26,Silt loam,-999,-999,-999,-999,0.054,0.421,0.067,1.47,1.4,0,17,51.4,31.7,Silty clay loam,0.069,0.425,0.099,1.3,1.52,0,12.2,44.2,43.6,Silty clay,0.076,0.419,0.2,1.26,1.52,0,12.8,42.3,44.9,Silty clay,19940101,20991231
18,BURN,Burneyville,Burneyville,2,SE,Love,33.893760,-97.269180,228,South Central,STANDARD,0.018,0.331,0.36,1.38,1.63,0,67.4,23.2,9.4,Sandy loam,-999,-999,-999,-999,0.02,0.344,0.208,1.38,1.57,0,64.2,24.5,11.3,Sandy loam,0.025,0.326,0.533,1.48,1.67,0,68.7,21.3,10,Sandy loam,0.019,0.344,0.427,1.39,1.61,0,75.6,16.3,8.1,Sandy loam,19940101,20991231
19,BUTL,Butler,Butler,5,SW,Custer,35.591500,-99.270590,520,West Central,STANDARD,0.072,0.479,0.571,1.55,1.09,0,15.6,52,32.3,Silty clay loam,-999,-999,-999,-999,0.051,0.426,0.105,1.42,1.35,0,7.8,57.2,35,Silty clay loam,0.073,0.418,0.152,1.22,1.6,0,3.3,46.7,49.9,Silty clay,0.056,0.358,0.182,1.25,1.71,0,14.2,51.5,34.3,Silty clay loam,19940101,20991231
20,BYAR,Byars,Byars,3,ESE,Garvin,34.849700,-97.003300,345,South Central,STANDARD,0.021,0.36,0.207,1.38,1.55,0,68.6,17.6,13.8,Sandy loam,-999,-999,-999,-999,0.049,0.37,0.204,1.31,1.62,0,53.6,17.8,28.6,Sandy clay loam,0.05,0.337,0.234,1.25,1.8,0,57.4,10.2,32.4,Sandy clay loam,0.048,0.328,0.217,1.23,1.85,0,57.8,8.9,33.2,Sandy clay loam,19940101,20991231
21,CALV,Calvin,Calvin,5,WNW,Hughes,34.992400,-96.334220,234,East Central,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20090318
22,CAMA,Camargo,Camargo,4,WNW,Dewey,36.028660,-99.346520,589,West Central,STANDARD,0.031,0.372,0.263,1.37,1.46,0,41.7,39.3,19,Loam,-999,-999,-999,-999,0.036,0.379,0.483,1.45,1.46,0,48.7,30.4,20.9,Loam,0.031,0.415,0.469,1.41,1.34,0,49.5,26.5,24,Sandy clay loam,0.031,0.403,0.48,1.42,1.39,0,54.5,24,21.5,Sandy clay loam,19940101,20991231
131,CARL,Lake Carl Blackwell,Orlando,5,E,Payne,36.147300,-97.285850,293,Central,STANDARD,0.029,0.411,0.305,1.37,1.3,0,34.9,41.1,24,Loam,-999,-999,-999,-999,0.054,0.424,0.105,1.39,1.39,0,28.7,37.6,33.7,Clay loam,0.064,0.403,0.127,1.28,1.56,0,21.9,42.3,35.9,Clay loam,0.059,0.384,0.115,1.28,1.64,0,22,43.5,34.5,Clay loam,20080301,20991231
112,CATO,Catoosa,Catoosa,4.7,NNW,Rogers,36.261900,-95.757200,232,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19960618,20010418
23,CENT,Centrahoma,Centrahoma,1,E,Coal,34.608960,-96.333090,208,South Central,STANDARD,0.031,0.366,0.099,1.42,1.5,0,50.9,35.9,13.2,Loam,-999,-999,-999,-999,0.031,0.355,0.276,1.37,1.53,0,44.8,37,18.2,Loam,0.053,0.376,0.035,1.43,1.7,0,31,34.2,34.8,Clay loam,0.055,0.364,0.143,1.23,1.71,0,36.1,29.7,34.2,Clay loam,19940101,20991231
24,CHAN,Chandler,Sparks,3,NNE,Lincoln,35.652820,-96.804070,291,Central,STANDARD,0.025,0.38,0.402,1.37,1.5,0,75.5,15.7,8.8,Sandy loam,-999,-999,-999,-999,0.042,0.345,0.177,1.3,1.72,0,57.9,17.7,24.5,Sandy clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
25,CHER,Cherokee,Cherokee,0.5,SSW,Alfalfa,36.748130,-98.362740,362,North Central,STANDARD,0.024,0.36,0.191,1.39,1.46,0,40.6,43.6,15.8,Loam,-999,-999,-999,-999,0.028,0.352,0.114,1.43,1.52,0,34.9,45.5,19.6,Loam,0.03,0.401,0.34,1.38,1.33,0,36.1,40.5,23.4,Loam,0.029,0.394,0.368,1.39,1.36,0,37.9,39.9,22.2,Loam,19940101,20991231
26,CHEY,Cheyenne,Cheyenne,6,SW,Roger Mills,35.546150,-99.727900,694,West Central,STANDARD,0.039,0.377,0.176,1.36,1.5,0,40.3,35.8,23.9,Loam,-999,-999,-999,-999,0.045,0.433,0.319,1.36,1.31,0,41,30.8,28.3,Clay loam,0.066,0.424,0.198,1.32,1.42,0,24.8,37.9,37.3,Clay loam,0.064,0.423,0.303,1.35,1.38,0,26,38.6,35.4,Clay loam,19940101,20991231
27,CHIC,Chickasha,Chickasha,2,SSE,Grady,35.032360,-97.914460,328,Central,STANDARD,0.062,0.484,0.07,1.48,1.16,0,10.8,53.9,35.3,Silty clay loam,-999,-999,-999,-999,0.079,0.428,0.259,1.28,1.43,0,8.9,56.5,34.6,Silty clay loam,0.09,0.431,0.289,1.23,1.49,0,5.8,51.6,42.6,Silty clay,0.085,0.398,0.366,1.14,1.69,0,3.9,46.1,50,Silty clay,19940101,20991231
28,CLAR,Claremore,Claremore,1,WNW,Rogers,36.317200,-95.641700,213,Northeast,STANDARD,0.05,0.446,0.064,1.48,1.26,0,36.8,37.8,25.4,Loam,0.061,0.433,0.072,1.42,0.075,0.453,0.04,1.45,1.46,0,12.5,50.1,37.4,Silty clay loam,0.06,0.382,0.015,1.76,1.76,0,14.2,64.3,21.5,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20020707
29,CLAY,Clayton,Clayton,3,NNE,Pushmataha,34.656570,-95.325960,186,Southeast,STANDARD,0.031,0.431,0.27,1.36,1.23,0,37.2,40.6,22.2,Loam,-999,-999,-999,-999,0.037,0.454,0.233,1.36,1.16,0,26.6,44.6,28.9,Clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
30,CLOU,Cloudy,Cloudy,5,SSE,Pushmataha,34.223210,-95.248700,221,Southeast,STANDARD,0.032,0.358,0.026,1.8,1.5,0,36.6,54,9.4,Silt loam,-999,-999,-999,-999,0.031,0.359,0.091,1.45,1.51,0,31.5,50.2,18.2,Silt loam,0.085,0.385,0.388,1.29,1.57,0,19.4,42.8,37.8,Silty clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
122,CLRM,Claremore,Claremore,1.8,WNW,Rogers,36.321120,-95.646170,207,Northeast,STANDARD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20020711,20140501
31,COOK,Cookson,Marble City,7,NNW,Cherokee,35.680010,-94.848960,299,East Central,STANDARD,0.029,0.464,0.081,1.46,1.03,0,36.2,46.1,17.6,Loam,-999,-999,-999,-999,0.03,0.389,0.078,1.49,1.35,0,21,60.8,18.2,Silt loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19940101,20991231
32,COPA,Copan,Copan,2,ENE,Washington,36.909870,-95.885530,250,Northeast,STANDARD,0.037,0.387,0.105,1.42,1.45,0,44.6,33.4,22,Loam,-999,-999,-999,-999,0.093,0.485,0.566,1.81,1.12,0,28.9,35.6,35.6,Clay loam,0.053,0.417,0.129,1.34,1.47,0,49.4,17.1,33.5,Sandy clay loam,0.06,0.389,0.259,1.28,1.59,0,54.7,13.8,31.5,Sandy clay loam,19940101,20991231
33,DURA,Durant,Durant,6,SSE,Bryan,33.920750,-96.320270,197,South Central,STANDARD,0.046,0.402,0.092,1.41,1.45,0,41.9,30.9,27.1,Clay loam,-999,-999,-999,-999,0.046,0.381,0.266,1.35,1.51,0,44.3,29.1,26.6,Loam,0.072,0.475,0.106,1.16,1.49,0,17.8,19.3,63,Clay,0.069,0.437,0.137,1.15,1.6,0,19.9,21.8,58.3,Clay,19940101,20991231
139,ELKC,Elk City,Elk City,5,S,Beckham,35.333530,-99.393980,584,West Central,STANDARD,0.036,0.386,0.173,1.37,1.44,0,48.7,35.5,15.8,Loam,0.038,0.383,0.272,1.35,0.051,0.421,0.31,1.35,1.35,0,38.5,34.7,26.8,Loam,0.06,0.393,0.346,1.34,1.49,0,43.5,29,27.4,Clay loam,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20150610,20991231
34,ELRE,El Reno,El Reno,5,WNW,Canadian,35.548480,-98.036540,419,Central,STANDARD,0.08,0.459,0.011,2.3,1.34,0,16.3,60.9,22.8,Silt loam,-999,-999,-999,-999,0.05,0.403,0.061,1.49,1.47,0,11.6,59.8,28.6,Silty clay loam,0.069,0.405,0.146,1.23,1.62,0,9.2,47.7,43.2,Silty clay,0.104,0.509,0.146,1.33,-999,0,5.3,44.1,50.6,Silty clay,19940101,20991231
35,ERIC,Erick,Erick,4,ESE,Beckham,35.204940,-99.803440,603,West Central,STANDARD,0.026,0.39,0.493,1.41,1.43,0,63.5,22.6,13.8,Sandy loam,-999,-999,-999,-999,0.027,0.378,0.3,1.37,1.46,0,57.4,26.3,16.3,Sandy loam,0.043,0.389,0.169,1.36,1.47,0,42.2,33.9,23.9,Loam,0.048,0.386,0.091,1.39,1.53,0,37.6,35.3,27.1,Clay loam,19940101,20991231
36,EUFA,Eufaula,Eufaula,4,WNW,McIntosh,35.303240,-95.657070,200,East Central,STANDARD,0.048,0.368,0.016,1.91,1.62,0,36,53.2,10.8,Silt loam,-999,-999,-999,-999,0.063,0.41,0.07,1.26,1.63,0,19.8,40,40.2,Silty clay,0.063,0.339,0.111,1.36,1.78,0,19.3,52.5,28.2,Silty clay loam,0.065,0.339,0.108,1.35,1.8,0,14.1,56.4,29.5,Silty clay loam,19940101,20991231
